Designator,Footprint,Quantity,Value,LCSC Part #
J1,JST_PH_S6B-PH-SM4-TB_1x06-1MP_P2.00mm_Horizontal,1,JST-PH-S6B-SM4_TB,
U1,DAN-F10-00B,1,~,
